サンプルID,サンプル作成日,担当者,備考,材料１,材料２,材料３,材料４,材料５,材料６,材料７,材料８,材料９,材料１０,材料１１,材料１２,材料１３,塗布量,乾燥方式,乾燥温度,乾燥時間,擦過回数,擦過圧力,耐擦過性,画像濃度,粘度,表面張力,保存後粘度,保存後状態
DP_001,2024/1/19,高岡,,46.9,40,0,2,0,2,0,0,5,0,4,0,0.1,2,0,25,,10,5,2.4,1.06,9,35,,
DP_002,2024/1/19,高岡,,47.4,40,0,2,0,1.5,0,0,5,0,4,0,0.1,2,0,25,,10,5,2.4,1.07,9,38,,
DP_003,2024/1/19,高岡,,47.7,40,0,2,0,1.2,0,0,5,0,4,0,0.1,2,0,25,,10,5,2.4,1.07,9,40,,
DP_004,2024/1/19,高岡,,47.9,40,0,2,0,1,0,0,5,0,4,0,0.1,2,0,25,,10,5,2.4,1.08,9,41,,
DP_005,2024/1/19,高岡,,48.4,40,0,2,0,0.5,0,0,5,0,4,0,0.1,2,0,25,,10,5,2.4,1.09,9,44,,
DP_006,2024/1/30,福原,ref,47.4,40,0,2,0,1.5,0,0,5,0,4,0,0.1,2,0,25,,10,5,2.7,1.07,9.1,38,,
DP_007,2024/1/30,福原,,47.4,40,0,2,0,0,1.5,0,5,0,4,0,0.1,2,0,25,,10,5,2.7,1.05,9.1,37,,
DP_008,2024/1/30,福原,,47.4,40,0,2,0,0,0,1.5,5,0,4,0,0.1,2,0,25,,10,5,2.7,1.02,9.1,39,,
DP_009,2024/1/30,福原,,45.4,40,0,2,0,1.5,0,0,5,0,6,0,0.1,2,0,25,,10,5,3.1,1.07,10.3,36,,
DP_010,2024/1/30,福原,,43.4,40,0,2,0,1.5,0,0,5,0,8,0,0.1,2,0,25,,10,5,3.6,1.07,11.5,34,,
DP_011,2024/1/30,福原,,41.4,40,0,2,0,1.5,0,0,5,0,10,0,0.1,2,0,25,,10,5,4,1.07,12.7,32,,
DP_012,2024/2/7,福原,,47.4,40,0,2,0,1.5,0,0,5,0,0,4,0.1,2,0,25,,10,5,2,1.07,9.1,38,,
DP_013,2024/2/7,福原,,45.4,40,0,2,0,1.5,0,0,5,0,0,6,0.1,2,0,25,,10,5,2.1,1.07,10.4,36,,
DP_014,2024/2/7,福原,,41.4,40,0,2,0,1.5,0,0,5,0,0,10,0.1,2,0,25,,10,5,2.3,1.07,12.8,32,,
DP_015,2024/2/15,高岡,,43.4,40,0,2,0,1.5,0,0,5,0,8,0,0.1,2,1,100,0.01,10,5,2.6,1.07,11.5,34,,
DP_016,2024/2/15,高岡,,43.4,40,0,2,0,1.5,0,0,5,0,8,0,0.1,2,1,100,0.03,10,5,5,1.07,11.5,34,,
DP_017,2024/2/15,高岡,,43.4,40,0,2,0,1.5,0,0,5,0,8,0,0.1,2,1,80,0.01,10,5,2.3,1.07,11.5,34,,
DP_018,2024/2/15,高岡,,43.4,40,0,2,0,1.5,0,0,5,0,8,0,0.1,2,1,120,0.01,10,5,2.9,1.07,11.5,34,,
DP_019,2024/2/28,福原,ref,43.4,40,0,2,0,1.5,0,0,5,0,8,0,0.1,2,1,100,0.03,10,5,5,1.07,11.5,34,,
DP_020,2024/2/28,福原,,43.4,0,40,2,0,1.5,0,0,5,0,8,0,0.1,2,1,100,0.03,10,5,5,1.07,7.5,36,,
DP_021,2024/2/28,福原,,40.4,40,0,5,0,1.5,0,0,5,0,8,0,0.1,2,1,100,0.05,10,5,5,1.04,11.7,31,,
DP_022,2024/2/28,福原,,43.4,40,0,0,2,1.5,0,0,5,0,8,0,0.1,2,1,100,0.03,10,5,5,1.09,11.4,34,,
DP_023,2024/3/15,福原,,43.4,0,40,0,2,1.5,0,0,5,0,8,0,0.1,2,1,100,0.03,10,5,5,1.09,7.4,36,,
DP_024,2024/3/15,福原,,40.4,0,40,0,5,1.5,0,0,5,0,8,0,0.1,2,1,100,0.03,10,5,5,1.09,7.4,33,,
DP_025,2024/3/15,福原,,38.4,0,45,0,2,1.5,0,0,5,0,8,0,0.1,2,1,100,0.03,10,5,5,1.09,7.4,31,,
DP_026,2024/3/15,福原,,48.4,0,35,0,2,1.5,0,0,5,0,8,0,0.1,2,1,100,0.03,10,5,5,1.09,7.4,41,,
DP_027,2024/4/10,高岡,ref,43.4,0,40,0,2,1.5,0,0,5,0,8,0,0.1,2,1,100,0.03,10,5,5,1.09,7.4,36,9.8,正常
DP_028,2024/4/10,高岡,,40.9,0,40,0,2,1.5,0,0,7.5,0,8,0,0.1,2,1,100,0.03,10,5,5,1.34,8.7,34,29.9,塊状物発生
DP_029,2024/4/10,高岡,,38.4,0,40,0,2,1.5,0,0,10,0,8,0,0.1,2,1,100,0.03,10,5,5,1.55,9.9,32,45.6,ゲル化
DP_030,2024/4/10,高岡,,43.4,0,40,0,2,1.5,0,0,0,5,8,0,0.1,2,1,100,0.03,10,5,5,1.17,7.7,36,10.1,正常
DP_031,2024/4/10,高岡,,40.9,0,40,0,2,1.5,0,0,0,7.5,8,0,0.1,2,1,100,0.03,10,5,5,1.43,9,34,67.7,ゲル化
DP_032,2024/4/10,高岡,,38.4,0,40,0,2,1.5,0,0,0,10,8,0,0.1,2,1,100,0.03,10,5,5,1.66,10.4,32,112.8,ゲル化
DP_033,2024/4/10,高岡,,38.4,0,40,0,2,1.5,0,0,5,5,8,0,0.1,2,1,100,0.03,10,5,5,1.61,10.2,32,12.6,正常
